Mountain,Filename,Total_Distance_km,Elevation_Gain_m,Min_Elevation_m,Max_Elevation_m,Average_Slope_%,Max_Slope_%,Estimated_Time_hrs,Start_Lat,Start_Lon,End_Lat,End_Lon,join_key,산이름,높이_m,소재지,봄추천,여름추천,가을추천,겨울추천,봄_포인트,여름_포인트,가을_포인트,겨울_포인트,단풍절정시기,기상청단풍확인,겨울난이도(★기준),입문자추천,케이블카·곤돌라,대중교통접근,메모,Score_Endurance,Score_Joint_Strain,Score_Total_Difficulty,PeakFit_Tags,Cluster_ID,Persona_Type,Persona_Tags
관악산,관악산_0000000004.gpx,9.81,552.89,91.97,516.38,12.85,711.75,0,37.386006,126.906682,37.372265,126.927146,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,28.3,14.3,21.3,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000005.gpx,6.62,739.56,73.68,626.71,23.89,129.8,0,37.427989,126.990712,37.45404,126.953828,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,26.3,10.2,18.2,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000006.gpx,9.33,633.53,46.98,540.28,16.78,268.78,0,37.408147,126.959999,37.419076,126.909326,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,29.0,9.8,19.4,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000007.gpx,7.36,688.76,76.44,576.48,24.98,1923.24,0,37.428156,126.991262,37.44955,126.994126,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,26.6,33.8,30.2,#산책같은코스,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000008.gpx,7.96,783.67,77.8,645.25,21.13,205.33,0,37.468401,126.945312,37.456012,126.955205,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,29.5,10.3,19.9,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000009.gpx,7.9,738.94,42.45,545.35,20.98,159.19,0,37.475834,126.98116,37.431896,126.994689,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,28.5,9.7,19.1,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000010.gpx,8.66,650.37,70.97,556.06,18.8,264.25,0,37.42631,126.988845,37.418589,126.920536,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,28.2,10.4,19.3,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000011.gpx,7.66,774.27,75.73,638.3,20.79,164.31,0,37.468328,126.946343,37.44726,126.950031,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,28.8,9.7,19.2,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000012.gpx,8.92,703.0,80.61,573.16,17.91,107.78,0,37.410882,126.968545,37.468247,126.946193,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,29.6,8.1,18.8,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000013.gpx,9.04,642.52,73.88,515.61,16.32,260.67,0,37.468338,126.945937,37.416158,126.916209,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,28.6,9.5,19.0,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000014.gpx,11.14,709.32,50.44,504.99,14.49,200.76,0,37.43417,126.902797,37.418942,126.909445,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,33.7,8.2,21.0,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000015.gpx,22.86,947.71,88.65,517.74,11.12,308.37,0,37.328198,126.91617,37.302304,126.866935,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,58.8,8.5,33.6,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
